iter	Passed	Remaining
431	1729	6676
432	1732	6669
433	1735	6663
434	1740	6661
435	1743	6655
436	1747	6649
437	1750	6643
438	1754	6636
439	1757	6629
440	1761	6627
441	1764	6619
442	1767	6612
443	1772	6612
444	1776	6605
445	1779	6599
446	1783	6594
447	1786	6586
448	1789	6579
449	1793	6576
450	1796	6569
451	1800	6562
452	1804	6561
453	1807	6554
454	1811	6547
455	1815	6546
456	1819	6539
457	1823	6536
458	1826	6531
459	1829	6524
460	1833	6518
461	1836	6512
462	1840	6506
463	1843	6500
464	1847	6497
465	1851	6490
466	1854	6484
467	1857	6478
468	1861	6472
469	1864	6464
470	1869	6466
471	1873	6460
472	1877	6457
473	1881	6452
474	1884	6445
475	1888	6442
476	1891	6436
477	1894	6430
478	1899	6428
479	1902	6422
480	1905	6415
481	1910	6412
482	1913	6405
483	1916	6400
484	1922	6400
485	1926	6396
486	1930	6392
487	1934	6389
488	1937	6384
489	1942	6383
490	1946	6377
491	1949	6371
492	1953	6367
493	1956	6361
494	1960	6355
495	1965	6354
496	1968	6348
497	1971	6341
498	1976	6341
499	1979	6335
500	1983	6330
501	1986	6324
502	1989	6318
503	1993	6313
504	1997	6309
505	2000	6302
506	2004	6298
507	2008	6293
508	2011	6286
509	2015	6282
510	2018	6277
511	2021	6270
512	2025	6265
513	2029	6261
514	2032	6255
515	2036	6251
516	2040	6246
517	2043	6240
518	2047	6236
519	2050	6231
520	2054	6225
521	2057	6220
522	2061	6214
523	2064	6208
524	2067	6201
525	2072	6201
526	2075	6195
527	2079	6192
528	2083	6188
529	2086	6182
530	2090	6178
531	2094	6171
532	2097	6165
533	2100	6160
534	2104	6154
535	2107	6148
536	2111	6144
537	2115	6141
538	2119	6137
539	2123	6135
540	2127	6130
541	2130	6124
542	2138	6132
543	2141	6126
544	2146	6124
545	2149	6119
546	2153	6112
547	2157	6109
548	2160	6104
549	2164	6098
550	2168	6095
551	2171	6089
552	2174	6082
553	2179	6082
554	2182	6076
555	2186	6072
556	2190	6069
557	2194	6063
558	2198	6060
559	2202	6056
560	2205	6050
561	2209	6047
562	2212	6041
563	2216	6035
564	2220	6033
565	2223	6027
566	2227	6021
567	2231	6018
568	2234	6013
569	2237	6006
570	2242	6004
571	2246	5999
572	2249	5993
